Test_loss,Acceracy,Preciion,Recall
0.015412066035223689,0.9737549370165229,0.8213585025717164,1.0
0.014474954783715173,0.9745651140869538,0.8259130898427086,1.0
0.014557629946648377,0.9744443665428031,0.8252310806851176,1.0
0.015409878986532325,0.9729837107667858,0.8170693111087668,1.0
0.014291547983763546,0.9747871337649084,0.8271700531332603,1.0
0.014357634574874585,0.9746897567131739,0.8266880170803309,0.9998708844415752
0.013731800412078882,0.9776266485934859,0.8515742546670382,0.9865397030342157
0.014295216535289607,0.9753285501725522,0.8325866349994602,0.9957714654615881
0.014645247692193759,0.9755194091939517,0.8330411328388402,0.9969335054874112
0.014618377862880151,0.9742301370289872,0.8240238323225875,1.0
0.014174844255630887,0.9751415862332219,0.8291847331513302,1.0
0.014099936379534484,0.9753947665677316,0.8319112857642721,0.9976759199483538
0.014154456958428152,0.9761114616684974,0.8391341140501734,0.9922530664945126
0.014077470529227866,0.9752779141056502,0.831650375636158,0.9969335054874112
0.014805288565451822,0.9741833960441546,0.8242091809564384,0.9991607488702389
0.014132792445204056,0.9761932583919544,0.8400984682713348,0.9914138153647515
0.014310951963628516,0.9754570878808416,0.8329510806508189,0.9964493221433183
0.014443019391783309,0.974752078026284,0.8274958558365862,0.9990316333118141
0.014222117272905356,0.9756830026408656,0.8347814318581676,0.9955132343447386
0.015139938457571892,0.973384904219932,0.819294951471716,1.0
0.01407828468729349,0.9770423862830789,0.8475477971737323,0.9873466752743706
0.014526928679473106,0.9749312518014754,0.8279880265127219,1.0
0.01464654723971762,0.9748221895035328,0.8273688708471317,1.0
0.018055062856425743,0.9730966681467978,0.8227895626055941,0.9903486120077469
0.01565228412182478,0.9756089960815474,0.8405809082892416,0.9846029696578438
0.01520394116629177,0.975963448549861,0.8422214252213976,0.9854099418979987
0.014302961886423873,0.9816424782070158,0.8949806020871552,0.9605874757908328
0.014274090780309051,0.9814788847601019,0.8932373669215774,0.9614267269205939
0.014434358780842255,0.9750753698380424,0.8288076192514513,1.0
0.014813403842175225,0.9788107535425772,0.8664906440133165,0.9745642349903163
0.014200185821925213,0.9766996190609736,0.844211280017625,0.9895093608779858
0.014743819882345027,0.9756479469022412,0.8370222973341329,0.9911878631375081
0.01539429754469893,0.9737237763599679,0.8211843291098977,1.0
0.014647769872414453,0.9822617962560471,0.8970491015085041,0.9635894125242092
0.015440528940331811,0.9735329173385683,0.8201191264063534,1.0
0.01377612167509748,0.9840574290900309,0.9167364146439754,0.95458360232408
0.014738710534323522,0.9779888912259381,0.8577643436255261,0.9801162040025823
0.014146230317771066,0.9830369175878536,0.9095271787614976,0.9543576500968367
0.01354974574684699,0.9878940849283694,0.9605724106021548,0.9381859264041317
0.014781071119092909,0.9777318158093591,0.8552864737152983,0.981536475145255
0.015780180401046284,0.9761192518326361,0.842018333470972,0.9873466752743706
0.015792331274272632,0.9726837894474436,0.8154133656199827,1.0
0.013866427997988163,0.9866749242406537,0.9469655194784132,0.9423499031633312
0.014223931263695705,0.9833251536609876,0.9111966733405206,0.9548741123305359
0.014793004694620322,0.9793833306067758,0.8686952777379072,0.976791478373144
0.014188872373203291,0.9835354880927342,0.910536169167971,0.9576500968366688
0.014963278921810949,0.9735874484875396,0.821718205748624,0.9975468043899289
0.014840269053584052,0.9811244322917884,0.8921197935421918,0.9596191091026469
0.01417099674807711,0.9857439996260722,0.9365612016618728,0.9459328599096191
0.013209492357533843,0.9879914619801039,0.9616415687572398,0.9378954163976759
0.014618327518825632,0.9775954879369309,0.8531750475977153,0.9836023240800517
0.014073068435730723,0.9784952518949575,0.8618288280606009,0.9786959328599096
0.014917530943730526,0.9754999337836048,0.8357539164490861,0.9918979987088444
0.014041376836027363,0.985681678312962,0.9362497603374449,0.945739186571982
0.013748241123830668,0.9871618094993262,0.9491822429906542,0.9441575209812783
0.013950198564270978,0.9806141765406997,0.8766040031283492,0.9768560361523564
0.013163848375133966,0.9879680914876876,0.958386746869145,0.9411555842479019
0.014775163941121718,0.974350884573138,0.825779225982212,0.9979987088444158
0.013870628013343473,0.9874033045876277,0.952803707813826,0.9422853453841188
0.014062432521071363,0.9810815863890252,0.8855338115056525,0.9683989670755326
0.013806256841313976,0.985619356999852,0.9322646052464834,0.949838605551969
0.013428332199873693,0.987652589840068,0.959305014203607,0.9374435119431892
0.012999888623162405,0.9883731800229031,0.9623451692815854,0.9404454486765655
0.013138190205384793,0.9876447996759292,0.9537859007832898,0.9433182698515171
0.013240344845950556,0.9869748455599959,0.9482579640563161,0.9435442220787605
0.013222702044689262,0.9874734160648765,0.9512123772996165,0.9446417043253712
